Surface name,dECO,dECOH,dEC,overpotential,onset potential,PLS
Rh(100) (0.66 ML CO*),-1.17,-0.9199999999999999,-1.71,-1.94,0.82,-0.56,CO*->COH*
Rh(211) (0.66 ML CO*),-1.1600000000000001,-0.6499999999999999,-1.26,-1.26,1.09,-0.83,CO*->COH*
Pd(100) (0.66 ML CO*),-1.0399999999999998,-0.3899999999999999,-1.28,-1.27,1.22,-0.96,CO*->COH*
Pd(211) (0.66 ML CO*),-1.0599999999999998,-0.4099999999999999,-1.16,-1.16,1.22,-0.96,CO*->COH*
Pt(100) (0.66 ML CO*),-1.0599999999999998,-0.53,-1.06,-1.54,1.1,-0.84,CO*->COH*
Pt(211) (0.66 ML CO*),-1.12,-0.5899999999999999,-0.52,-0.52,1.11,-0.85,CO*->COH*
Ni(100) (0.66 ML CO*),-1.0499999999999998,-0.79,-1.66,-2.24,0.83,-0.57,CO*->COH*
Ni(210) (0.66 ML CO*),-1.1099999999999999,-0.49,-1.3,-1.3,1.19,-0.93,CO*->COH*
"Cu(100) (Beef, ++solv.)",-0.71,-0.05999999999999994,0.38,-0.39,1.23,-0.97,CO*->COH*
"Cu(100) (Beef, ++solv.)",-0.71,0.6000000000000001,0.38,-0.39,1.89,-1.62,CO*->COH*
Cu(111) (++solv.),-0.55,0.21999999999999997,1.51,0.14,1.34,-1.08,CO*->COH*
"Cu(111) (DMC, ++solv.)",-0.6599999999999999,0.7000000000000002,1.51,0.14,1.94,-1.68,CO*->COH*
Cu(211) (0.66 ML CO ++solv.),-0.6199999999999999,0.45999999999999996,0.9,-0.03999999999999998,1.65,-1.39,CO*->COH*
Au(111) (++solv.),-0.10999999999999999,0.9700000000000002,2.35,0.99,1.66,-1.4,CO*->COH*
