model,freq-exp,freq-dft,activity
pristine,677,675.865300,2516394132749860.000000
pristine,355,362.523770,948890284436769.000000
pristine,355,357.308430,28620991156265.300000
pristine,328,335.818860,1482877557955.380000
pristine,328,330.226880,785764636706120.000000
vacancy,677,684.764950,120037838972355.000000
vacancy,677,677.488110,69240667539284.800000
vacancy,538,540.674680,308511819.357672
vacancy,538,539.307490,182198203850344.000000
vacancy,538,533.057020,10936290590.733100
vacancy,355,359.997240,2353754799346.830000
vacancy,355,354.907130,68994561994.446300
vacancy,355,352.945970,14445516874.028700
vacancy,355,351.123570,43939303617.620800
vacancy,328,337.282460,69602039021597.300000
vacancy,328,335.873250,151227399219.568000
vacancy,328,331.747610,80888184719.114400
vacancy,328,323.383030,97548826198.998700
vacancy,328,318.967930,14171009101.044200
proton,677,679.057470,11867994421.058200
proton,538,539.641590,746618924.121325
proton,538,531.229050,119420387537.367000
proton,355,365.401700,23789151410.489300
proton,355,364.342590,396098433.628248
proton,355,353.460870,3585581979.718960
proton,355,351.676020,479315297.581578
proton,355,345.983850,155153146.127207
proton,328,330.266050,244996440396.623000
proton,328,324.371380,5530040416.060700
proton,271,278.522530,3444311482.592840
proton,271,276.049890,122632475748.508000
proton,271,272.729460,3653301707.158740
proton,271,272.473460,95493788581.260600
proton,271,266.357370,39828924214.726500
proton,271,263.657560,1333758307.250390
proton,271,224.722440,44350788544.413800
proton,205,210.693370,456032572636.777000
