label ele1  idx1 ele2  idx2          pair  -ICOHP  distance
    1   Ru     0    O     8  Ru0(d)-O8(p) 2.00969  1.948900
    2   Ru     0    O    12 Ru0(d)-O12(p) 2.01121  1.948904
    3   Ru     0    O    16 Ru0(d)-O16(p) 1.60145  2.006197
    4   Ru     0    O    17 Ru0(d)-O17(p) 1.60157  2.006189
    5   Ru     0    O    20 Ru0(d)-O20(p) 1.60227  2.006197
    6   Ru     0    O    21 Ru0(d)-O21(p) 1.60180  2.006189
    7   Ru     1    O     9  Ru1(d)-O9(p) 2.00887  1.948900
    8   Ru     1    O    13 Ru1(d)-O13(p) 2.01056  1.948904
    9   Ru     1    O    16 Ru1(d)-O16(p) 1.60181  2.006193
   10   Ru     1    O    17 Ru1(d)-O17(p) 1.60194  2.006197
   11   Ru     1    O    20 Ru1(d)-O20(p) 1.60251  2.006193
   12   Ru     1    O    21 Ru1(d)-O21(p) 1.60196  2.006197
   13   Ru     2    O    10 Ru2(d)-O10(p) 2.01087  1.948900
   14   Ru     2    O    14 Ru2(d)-O14(p) 2.01043  1.948900
   15   Ru     2    O    18 Ru2(d)-O18(p) 1.60127  2.006197
   16   Ru     2    O    19 Ru2(d)-O19(p) 1.60127  2.006189
   17   Ru     2    O    22 Ru2(d)-O22(p) 1.60214  2.006200
   18   Ru     2    O    23 Ru2(d)-O23(p) 1.60183  2.006192
   19   Ru     3    O    11 Ru3(d)-O11(p) 2.00951  1.948900
   20   Ru     3    O    15 Ru3(d)-O15(p) 2.00960  1.948900
   21   Ru     3    O    18 Ru3(d)-O18(p) 1.60175  2.006193
   22   Ru     3    O    19 Ru3(d)-O19(p) 1.60168  2.006197
   23   Ru     3    O    22 Ru3(d)-O22(p) 1.60285  2.006196
   24   Ru     3    O    23 Ru3(d)-O23(p) 1.60253  2.006200
   25   Ru     4    O    10 Ru4(d)-O10(p) 1.60222  2.006200
   26   Ru     4    O    11 Ru4(d)-O11(p) 1.60283  2.006196
   27   Ru     4    O    14 Ru4(d)-O14(p) 1.60175  2.006197
   28   Ru     4    O    15 Ru4(d)-O15(p) 1.60153  2.006193
   29   Ru     4    O    16 Ru4(d)-O16(p) 2.01000  1.948904
   30   Ru     4    O    20 Ru4(d)-O20(p) 2.00930  1.948900
   31   Ru     5    O    10 Ru5(d)-O10(p) 1.60188  2.006192
   32   Ru     5    O    11 Ru5(d)-O11(p) 1.60232  2.006200
   33   Ru     5    O    14 Ru5(d)-O14(p) 1.60145  2.006189
   34   Ru     5    O    15 Ru5(d)-O15(p) 1.60125  2.006197
   35   Ru     5    O    17 Ru5(d)-O17(p) 2.01118  1.948904
   36   Ru     5    O    21 Ru5(d)-O21(p) 2.00976  1.948900
   37   Ru     6    O     8  Ru6(d)-O8(p) 1.60214  2.006197
   38   Ru     6    O     9  Ru6(d)-O9(p) 1.60251  2.006193
   39   Ru     6    O    12 Ru6(d)-O12(p) 1.60198  2.006197
   40   Ru     6    O    13 Ru6(d)-O13(p) 1.60208  2.006193
   41   Ru     6    O    18 Ru6(d)-O18(p) 2.00988  1.948900
   42   Ru     6    O    22 Ru6(d)-O22(p) 2.00930  1.948900
   43   Ru     7    O     8  Ru7(d)-O8(p) 1.60163  2.006189
   44   Ru     7    O     9  Ru7(d)-O9(p) 1.60214  2.006197
   45   Ru     7    O    12 Ru7(d)-O12(p) 1.60147  2.006189
   46   Ru     7    O    13 Ru7(d)-O13(p) 1.60134  2.006197
   47   Ru     7    O    19 Ru7(d)-O19(p) 2.01065  1.948900
   48   Ru     7    O    23 Ru7(d)-O23(p) 2.01055  1.948900
				-ICOHP sum:83.42251
