,Adsorption Energy,Bulk ICOHP,Oxidation State,Metal Symbol,Outer Electrons,Adsorbate,Bulk File,Psi,O 2p-center,predicted COHP,row,p ICOHP,Surface Oxidation State
0,2.80479318,-0.05554,4,Ge,10,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/10_GeO2/no_sym/ICOHPLIST.lobster,(14.294074295291788+0j),0,-0.065481983,3d,-5.8658225,3.333
1,2.72134208,-0.05554,4,Ge,10,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/10_GeO2/no_sym/ICOHPLIST.lobster,(14.294074295291788+0j),0,-0.065481983,3d,-5.8658225,4
2,2.62426109,-0.0722,3,Ga,10,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+3/10_Ga2O3/no_sym/ICOHPLIST.lobster,(14.596862988096058+0j),0,-0.116998455,3d,-5.86733,2.833
3,2.65982041,-0.17308,4,Ga,9,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/09_GaO2/no_sym/ICOHPLIST.lobster,(13.994472574330214+0j),0,-0.136520137,3d,-4.991985,3.333
4,2.48578319,-0.17308,4,Ga,9,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/09_GaO2/no_sym/ICOHPLIST.lobster,(13.994472574330214+0j),0,-0.136520137,3d,-4.991985,4
5,2.55522926,-0.88185,5,Ga,8,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+5/08_Ga2O5/no_sym/ICOHPLIST.lobster,(13.35043837349467+0j),0,-0.127585656,3d,-4.037748,4
6,2.88334744,-0.68846,3,Zn,9,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+3/09_Zn2O3/no_sym/ICOHPLIST.lobster,(14.255926956437358+0j),0,-0.733658844,3d,0,2.833
7,2.58670148,-1.38719,4,Zn,8,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/08_ZnO2/no_sym/ICOHPLIST.lobster,(13.599860464771206+0j),0,-1.247257031,3d,0,3.333
8,2.18373481,-1.38719,4,Zn,8,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/08_ZnO2/no_sym/ICOHPLIST.lobster,(13.599860464771206+0j),0,-1.247257031,3d,0,4
9,2.84854771,-0.07533,2,Zn,10,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+2/09_ZnO/no_sym/ICOHPLIST.lobster,(14.869571643101441+0j),0,-0.377216758,3d,0,1.93
10,2.54610488,-2.51939,3,Cu,8,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+3/08_Cu2O3/no_sym/ICOHPLIST.lobster,(13.221493662399181+0j),0,-2.497799631,3d,0,2.833
11,2.46311034,-3.45646,4,Cu,7,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/07_CuO2/no_sym/ICOHPLIST.lobster,(12.533828338542305+0j),0,-3.384190656,3d,0,3.333
12,2.4309475,-3.45646,4,Cu,7,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/07_CuO2/no_sym/ICOHPLIST.lobster,(12.533828338542305+0j),0,-3.384190656,3d,0,4
13,2.669226145,-1.32563,2,Cu,9,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+2/08_CuO/no_sym/ICOHPLIST.lobster,(13.85930748292667+0j),0,-1.584923469,3d,0,1.93
