,Adsorption Energy O,Bulk ICOHP,Oxidation state bulk,Metal Symbol,Outer Electrons,Adsorbate O,Bulk File,Psi,O 2p-center,predicted COHP,row,p ICOHP,Oxidation state surface,Adsorption Energy OH,Adsorbate OH,Adsorption Energy O-OH,Adsorbate,Outer electrons surface,Outer electrons bulk,Is d0,Normalized ICOHP,Normalized ICOHP Pred,Ionization energy surface,Ionization energy bulk,Electronegativity,Group,Period,Atomic nos
1,0.1036235350000112,-6.7967900000000006,2,Ti,2,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+2/01_TiO/no_sym/ICOHPLIST.lobster,7.919597331848456,-5.703890445013491,-6.575545831157776,3d,0.0,1.93,-1.2642727549999933,OH,1.3678962900000045,O-OH,2.0700000000000003,2,0,-3.3983950000000003,-3.287772915578888,13.739676321243524,13.745855,1.54,4,4,22
2,-0.7132847200000185,-9.96046,3,Ti,1,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/01_Ti2O3/no_sym/ICOHPLIST.lobster,6.001932437987127,-5.19022013580108,-9.669242583986314,3d,0.0,2.833,-1.063356099999993,OH,0.3500713799999744,O-OH,1.1669999999999998,1,0,-3.3201533333333333,-3.2230808613287714,14.342629078715143,14.42239,1.54,4,4,22
5,0.9097298700000068,-5.88548,2,V,3,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+2/02_VO/no_sym/ICOHPLIST.lobster,9.208867570199484,-4.843283977564256,-5.1418360571170085,3d,0.0,1.93,-0.3445842249999913,OH,1.254314094999998,O-OH,3.0700000000000003,3,0,-2.94274,-2.5709180285585043,14.65421243523316,14.6555,1.63,5,4,23
6,0.9747504599999957,-8.21667,3,V,2,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/02_V2O3/no_sym/ICOHPLIST.lobster,7.830143548033811,-3.625484423460227,-8.228343840549112,3d,0.0,2.833,0.0170079399999849,OH,0.9577425200000108,O-OH,2.167,2,0,-2.73889,-2.742781280183037,15.461889869396401,15.569666666666668,1.63,5,4,23
7,1.958801550000004,-11.43987,4,V,1,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/01_VO2/no_sym/ICOHPLIST.lobster,5.934139146954678,-3.2205687317448093,-11.622005216280067,3d,0.0,3.333,0.1937255500000105,OH,1.7650759999999934,O-OH,1.6669999999999998,1,0,-2.8599675,-2.905501304070017,15.869694704470447,16.3204125,1.63,5,4,23
8,2.18619111000001,-11.43987,4,V,1,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/01_VO2/no_sym/ICOHPLIST.lobster,5.934139146954678,-3.2205687317448093,-11.622005216280067,3d,0.0,4.0,0.7030296899999939,OH,1.483161420000016,O-OH,1.0,1,0,-2.8599675,-2.905501304070017,16.3204125,16.3204125,1.63,5,4,23
11,2.1963947200000007,-8.19114,3,Cr,3,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/03_Cr2O3/no_sym/ICOHPLIST.lobster,9.175339249232014,-2.8129685228621906,-8.321760045095479,3d,0.0,2.833,0.684970050000004,OH,1.5114246699999967,O-OH,3.167,3,0,-2.7303800000000003,-2.7739200150318264,16.279774091069537,16.386666666666667,1.66,6,4,24
12,3.2340354399999853,-10.465090000000002,4,Cr,2,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/02_CrO2/no_sym/ICOHPLIST.lobster,7.80163498668264,-2.8983502366326763,-10.793523501621015,3d,0.0,3.333,1.125645999999989,OH,2.1083894399999963,O-OH,2.667,2,0,-2.6162725000000004,-2.698380875405254,16.777647764776475,17.365,1.66,6,4,24
13,3.403052669999994,-10.465090000000002,4,Cr,2,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/02_CrO2/no_sym/ICOHPLIST.lobster,7.80163498668264,-2.8983502366326763,-10.793523501621015,3d,0.0,4.0,1.3257011599999942,OH,2.07735151,O-OH,2.0,2,0,-2.6162725000000004,-2.698380875405254,17.365,17.365,1.66,6,4,24
14,3.184760369999992,-12.355380000000002,5,Cr,1,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/01_Cr2O5/no_sym/ICOHPLIST.lobster,5.9125336975910034,-2.611120332146957,-12.177141433882287,3d,0.0,4.0,1.376989079999987,OH,1.8077712900000047,O-OH,2.0,1,0,-2.4710760000000005,-2.4354282867764576,17.365,18.127000000000002,1.66,6,4,24
