metal	row	numb	E	Eform	coord	nickname	etc.
Ca	3d	0	-1.9037	-144.4	RS	Lime	
Sc	3d	1	-6.2439				
Ti	3d	2	-5.7426	-116.92	RS		
V	3d	3	-6.3523				
Cr	3d	4	-6.994	-83.81	RS		hydroxide
Mn	3d	5	-6.929	-86.8	RS	Manganosite	
Fe	3d	6	-5.7954	-58.88	RS	Wustite	hydroxide
Co	3d	7	-4.6625	-49	RS		
Ni	3d	8	-3.0564	-51.3	RS		
Cu	3d	9	-2.6358	-28.61	TN	Tenorite	
Zn	3d	10	-1.0893	-76.876	WZ		
Ga	3d	11	-2.8855				
Ge	3d	12	-4.4968	-69.9			hydroxide
Sr	4d	0	-1.6223	-133.8	RS	Strontia	
Y	4d	1	-6.4376				
Zr	4d	2	-8.5199				
Nb	4d	3	-10.224	-90.5	NB		
Mo	4d	4	-10.9495				
Tc	4d	5	-10.3464				
Ru	4d	6	-9.2432				
Rh	4d	7	-7.2504	-18			
Pd	4d	8	-5.2215	-14.4	PD		
Ag	4d	9	-2.735	2.6	PD		
Cd	4d	10	-0.7481	-53.79	RS		
In	4d	11	-2.5455				
Sn	4d	12	-3.8101	-61.5	LT		
Ba	5d	0	-1.9074	-126.3	RS		
La	5d	1	-4.9002				
Hf	5d	2	-9.9286				
Ta	5d	3	-11.7908				
W	5d	4	-12.9634				
Re	5d	5	-12.4263				
Os	5d	6	-11.2533				
Ir	5d	7	-8.8705				
Pt	5d	8	-6.1276	-11.51	PD		
Au	5d	9	-3.1857	39	AU		
Hg	5d	10	-0.1719	-13.99			
Tl	5d	11	-2.1941				
Pb	5d	12	-3.5788	-45.25	LT	Litharge	
