Metal	row	numb	dH_form	Coordination	Nickname	etc.
Ca	3d	0	-144.4	RS	Lime	
Sc	3d	1				
Ti	3d	2	-116.92	RS		
V	3d	3				
Cr	3d	4	-83.81	RS		hydroxide
Mn	3d	5	-86.8	RS	Manganosite	
Fe	3d	6	-58.88	RS	Wustite	hydroxide
Co	3d	7	-49	RS		
Ni	3d	8	-51.3	RS		
Cu	3d	9	-28.61	TN	Tenorite	
Zn	3d	10	-76.876	WZ		
Ga	3d	11				
Ge	3d	12	-69.9			hydroxide
Sr	4d	0	-133.8	RS	Strontia	
Y	4d	1				
Zr	4d	2				
Nb	4d	3	-90.5	NB		
Mo	4d	4				
Tc	4d	5				
Ru	4d	6				
Rh	4d	7	-18			
Pd	4d	8	-14.4	PD		
Ag	4d	9	2.6	PD		
Cd	4d	10	-53.79	RS		
In	4d	11				
Sn	4d	12	-61.5	LT		
Ba	5d	0	-126.3	RS		
La	5d	1				
Hf	5d	2				
Ta	5d	3				
W	5d	4				
Re	5d	5				
Os	5d	6				
Ir	5d	7				
Pt	5d	8	-11.51	PD		
Au	5d	9	39	AU		
Hg	5d	10	-13.99			
Tl	5d	11				
Pb	5d	12	-45.25	LT	Litharge	
